0.0013487569264929529
unwrapped_00001.dat
4.647349538671755

         60725 function calls (57537 primitive calls) in 4.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.046    0.046 __init__.py:15(<module>)
      464    0.013    0.000    0.037    0.000 common.py:93(factorial)
      144    0.030    0.000    0.030    0.000 {built-in method loads}
        2    0.000    0.000    0.030    0.015 __init__.py:38(<module>)
      221    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
      181    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
        1    0.000    0.000    0.021    0.021 __init__.py:7(<module>)
        1    0.000    0.000    0.017    0.017 pilutil.py:7(<module>)
        2    0.000    0.000    0.017    0.008 Image.py:1408(save)
    29/26    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:496(set_package_wrapper)
    29/26    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:509(set_loader_wrapper)
      144    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap>:1031(get_data)
        1    0.000    0.000    0.016    0.016 __init__.py:45(<module>)
    17/16    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1126(load_module)
    17/16    0.011    0.001    0.015    0.001 {built-in method load_dynamic}
        1    0.000    0.000    0.015    0.015 npyio.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _datasource.py:33(<module>)
      275    0.001    0.000    0.012    0.000 function_base.py:2940(add_newdoc)
        1    0.000    0.000    0.011    0.011 __init__.py:527(<module>)
      285    0.007    0.000    0.011    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.011    0.011 polynomial.py:55(<module>)
        1    0.000    0.000    0.010    0.010 shutil.py:5(<module>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
        2    0.000    0.000    0.010    0.005 Image.py:280(preinit)
        1    0.000    0.000    0.009    0.009 __init__.py:65(<module>)
        6    0.000    0.000    0.008    0.001 string.py:97(substitute)
        6    0.007    0.001    0.008    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
      464    0.008    0.000    0.008    0.000 {built-in method where}
      168    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:776(find_module)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:3(<module>)
      168    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:761(_search_registry)
        2    0.000    0.000    0.007    0.004 pilutil.py:199(toimage)
      144    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1041(path_stats)
        2    0.005    0.003    0.006    0.003 pilutil.py:34(bytescale)
      107    0.000    0.000    0.006    0.000 re.py:268(_compile)
     1365    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:74(_path_join)
       15    0.000    0.000    0.006    0.000 sre_compile.py:489(compile)
      168    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:754(_open_registry)
       16    0.000    0.000    0.006    0.000 re.py:212(compile)
        1    0.000    0.000    0.006    0.006 legendre.py:83(<module>)
        1    0.000    0.000    0.006    0.006 hermite_e.py:59(<module>)
      144    0.006    0.000    0.006    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.006    0.006 laguerre.py:59(<module>)
        1    0.000    0.000    0.006    0.006 Image.py:27(<module>)
        1    0.000    0.000    0.006    0.006 chebyshev.py:87(<module>)
        1    0.000    0.000    0.006    0.006 hermite.py:59(<module>)
        1    0.000    0.000    0.006    0.006 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:19(<module>)
        1    0.000    0.000    0.005    0.005 tempfile.py:16(<module>)
      336    0.005    0.000    0.005    0.000 {built-in method OpenKey}
        1    0.000    0.000    0.005    0.005 polynomial.py:4(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
      288    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
        1    0.000    0.000    0.004    0.004 case.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:44(<module>)
       15    0.000    0.000    0.003    0.000 sre_parse.py:738(parse)
        2    0.003    0.002    0.003    0.002 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      288    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:796(is_package)
    26/15    0.000    0.000    0.003    0.000 sre_parse.py:353(_parse_sub)
      385    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
    29/15    0.001    0.000    0.003    0.000 sre_parse.py:431(_parse)
        1    0.000    0.000    0.003    0.003 basic.py:5(<module>)
        2    0.001    0.000    0.003    0.001 BmpImagePlugin.py:190(_save)
        1    0.000    0.000    0.003    0.003 polytemplate.py:11(<module>)
        1    0.000    0.000    0.003    0.003 BmpImagePlugin.py:27(<module>)
      525    0.003    0.000    0.003    0.000 {built-in method array}
       20    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1396(_fill_cache)
       20    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
        1    0.003    0.003    0.003    0.003 zern2.py:76(mk_rad_mask)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
      144    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
       15    0.000    0.000    0.003    0.000 sre_compile.py:474(_code)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
      409    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
      613    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:86(_path_split)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
      225    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
      472    0.001    0.000    0.002    0.000 numeric.py:392(asarray)
        1    0.000    0.000    0.002    0.002 common.py:4(<module>)
        3    0.000    0.000    0.002    0.001 __init__.py:297(namedtuple)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
     4589    0.002    0.000    0.002    0.000 {built-in method hasattr}
        1    0.000    0.000    0.002    0.002 util.py:10(<module>)
     1560    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       21    0.002    0.000    0.002    0.000 {built-in method listdir}
    56/15    0.000    0.000    0.002    0.000 sre_compile.py:33(_compile)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:114(_path_isdir)
        2    0.000    0.000    0.002    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        9    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.002    0.002 string.py:61(__init__)
        1    0.000    0.000    0.002    0.002 compat.py:3(<module>)
      409    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:201(acquire)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1437(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
      554    0.000    0.000    0.001    0.000 sre_parse.py:210(get)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
       27    0.000    0.000    0.001    0.000 sre_compile.py:179(_compile_charset)
      631    0.001    0.000    0.001    0.000 sre_parse.py:185(__next)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
        4    0.000    0.000    0.001    0.000 {method 'mean' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 _methods.py:49(_mean)
        1    0.001    0.001    0.001    0.001 {method 'tofile' of 'numpy.ndarray' objects}
      666    0.001    0.000    0.001    0.000 string.py:107(convert)
     7480    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:181(__init__)
       27    0.001    0.000    0.001    0.000 sre_compile.py:208(_optimize_charset)
      616    0.001    0.000    0.001    0.000 _binary.py:24(o8)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:53(<module>)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:28(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
     1843    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1495    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
     1708    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method fromfile}
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:593(_requires_builtin_wrapper)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:654(load_module)
        3    0.000    0.000    0.001    0.000 warnings.py:31(filterwarnings)
        1    0.000    0.000    0.001    0.001 orthogonal.py:79(<module>)
       26    0.000    0.000    0.001    0.000 nosetester.py:140(__init__)
       12    0.001    0.000    0.001    0.000 {built-in method init_builtin}
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
     2100    0.001    0.000    0.001    0.000 {built-in method isinstance}
        2    0.000    0.000    0.001    0.000 ImageFile.py:443(_save)
        1    0.000    0.000    0.001    0.001 pickle.py:171(<listcomp>)
       23    0.000    0.000    0.001    0.000 core.py:5983(__init__)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.001    0.001 functions.py:3(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1656(__import__)
       23    0.000    0.000    0.001    0.000 core.py:5988(getdoc)
        4    0.001    0.000    0.001    0.000 {built-in method open}
        1    0.000    0.000    0.001    0.001 misc.py:3(<module>)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
       91    0.000    0.000    0.001    0.000 re.py:153(match)
      398    0.001    0.000    0.001    0.000 {built-in method allocate_lock}
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1572(_gcd_import)
       27    0.000    0.000    0.001    0.000 ntpath.py:314(dirname)
      144    0.001    0.000    0.001    0.000 {built-in method _fix_co_filename}
       27    0.000    0.000    0.001    0.000 ntpath.py:273(split)
      880    0.001    0.000    0.001    0.000 {built-in method getattr}
      684    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        6    0.000    0.000    0.001    0.000 abc.py:129(__new__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       50    0.001    0.000    0.001    0.000 zern2.py:50(noll_to_zern)
       15    0.000    0.000    0.001    0.000 sre_compile.py:365(_compile_info)
        1    0.000    0.000    0.001    0.001 subprocess.py:337(<module>)
        4    0.000    0.000    0.001    0.000 numerictypes.py:866(<lambda>)
        9    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.001    0.000    0.001    0.000 {method 'encode_to_file' of 'ImagingEncoder' objects}
      288    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       37    0.000    0.000    0.000    0.000 ntpath.py:188(splitdrive)
      684    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1455(__enter__)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      928    0.000    0.000    0.000    0.000 {scipy.special._ufuncs.errprint}
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
    82/41    0.000    0.000    0.000    0.000 sre_parse.py:142(getwidth)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      278    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      518    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
        2    0.000    0.000    0.000    0.000 Image.py:1799(frombytes)
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      677    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        7    0.000    0.000    0.000    0.000 sre_compile.py:259(_mk_bitmap)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1617(sum)
      268    0.000    0.000    0.000    0.000 {built-in method add_docstring}
        1    0.000    0.000    0.000    0.000 _methods.py:23(_sum)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
     1093    0.000    0.000    0.000    0.000 {built-in method release_lock}
      199    0.000    0.000    0.000    0.000 sre_parse.py:132(__getitem__)
        2    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 _methods.py:19(_amin)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
2107/2079    0.000    0.000    0.000    0.000 {built-in method len}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        9    0.000    0.000    0.000    0.000 datetime.py:301(__new__)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1144(is_package)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
      176    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
        2    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       37    0.000    0.000    0.000    0.000 ntpath.py:84(normcase)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:112(_add2path)
        2    0.000    0.000    0.000    0.000 _methods.py:15(_amax)
        1    0.000    0.000    0.000    0.000 precision.py:8(<module>)
      268    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      819    0.000    0.000    0.000    0.000 {built-in method get_ident}
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       24    0.000    0.000    0.000    0.000 _binary.py:44(o32le)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1425(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method dir}
      722    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
        2    0.000    0.000    0.000    0.000 Image.py:563(frombytes)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
       25    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x000000001E34EF70}
        8    0.000    0.000    0.000    0.000 ntpath.py:108(join)
        1    0.000    0.000    0.000    0.000 __init__.py:540(<listcomp>)
      495    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 Image.py:1763(new)
      168    0.000    0.000    0.000    0.000 {built-in method is_frozen}
        8    0.000    0.000    0.000    0.000 core.py:7190(__init__)
      198    0.000    0.000    0.000    0.000 {built-in method setattr}
       91    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7195(getdoc)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:116(<listcomp>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_reset_cache)
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'numpy.ndarray' objects}
       51    0.000    0.000    0.000    0.000 {built-in method issubclass}
      401    0.000    0.000    0.000    0.000 {built-in method chr}
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      714    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       15    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
        8    0.000    0.000    0.000    0.000 ntpath.py:100(isabs)
        2    0.000    0.000    0.000    0.000 ntpath.py:585(abspath)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        6    0.000    0.000    0.000    0.000 abc.py:132(<setcomp>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
      141    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
       26    0.000    0.000    0.000    0.000 sre_compile.py:358(_simple)
        1    0.000    0.000    0.000    0.000 core.py:2563(MaskedArray)
      445    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
        3    0.000    0.000    0.000    0.000 abc.py:148(register)
      111    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 precision.py:26(_fill_table)
        4    0.000    0.000    0.000    0.000 {built-in method print}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 ntpath.py:529(normpath)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        5    0.000    0.000    0.000    0.000 precision.py:20(_get_precisions)
        2    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:150(DataSource)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       23    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method fill}
      117    0.000    0.000    0.000    0.000 {built-in method getlower}
       48    0.000    0.000    0.000    0.000 {built-in method is_builtin}
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        4    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
       78    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      237    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 abc.py:191(__subclasscheck__)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       86    0.000    0.000    0.000    0.000 ntpath.py:44(_get_sep)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 os.py:679(__setitem__)
        1    0.000    0.000    0.000    0.000 numeric.py:353(<listcomp>)
       13    0.000    0.000    0.000    0.000 functions.py:63(zeros)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:20(<module>)
       37    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:831(__init__)
        2    0.000    0.000    0.000    0.000 numerictypes.py:963(find_common_type)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        6    0.000    0.000    0.000    0.000 core.py:1046(__init__)
       43    0.000    0.000    0.000    0.000 ntpath.py:56(_get_bothseps)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
        1    0.000    0.000    0.000    0.000 {built-in method putenv}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method zeros}
        2    0.000    0.000    0.000    0.000 function_base.py:8(linspace)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.000    0.000 datetime.py:1807(timezone)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        2    0.000    0.000    0.000    0.000 {method 'resize' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1490(_sanity_check)
        1    0.000    0.000    0.000    0.000 typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufuncs.py:1(<module>)
       56    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1338(<genexpr>)
       34    0.000    0.000    0.000    0.000 six.py:93(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        7    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        4    0.000    0.000    0.000    0.000 utils.py:108(__call__)
      126    0.000    0.000    0.000    0.000 {built-in method min}
        2    0.000    0.000    0.000    0.000 Image.py:358(_getencoder)
       39    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        4    0.000    0.000    0.000    0.000 numerictypes.py:948(_can_coerce_all)
        2    0.000    0.000    0.000    0.000 Image.py:342(_getdecoder)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       82    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:297(_escape)
       21    0.000    0.000    0.000    0.000 {built-in method empty}
       15    0.000    0.000    0.000    0.000 {built-in method compile}
        2    0.000    0.000    0.000    0.000 ntpath.py:299(splitext)
       12    0.000    0.000    0.000    0.000 __init__.py:359(<genexpr>)
       45    0.000    0.000    0.000    0.000 ntpath.py:68(_get_colon)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:532(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2419(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        4    0.000    0.000    0.000    0.000 _methods.py:39(_count_reduce_items)
