0.001363127243822406
unwrapped_00001.dat
4.70596729480008

         60867 function calls (57660 primitive calls) in 4.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    145/9    0.001    0.000    0.233    0.026 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
       12    0.001    0.000    0.001    0.000 {built-in method init_builtin}
        2    0.001    0.000    0.001    0.000 {built-in method fromfile}
     1714    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      666    0.001    0.000    0.001    0.000 string.py:107(convert)
    185/9    0.001    0.000    0.237    0.026 <frozen importlib._bootstrap>:1559(_find_and_load)
     2102    0.001    0.000    0.001    0.000 {built-in method isinstance}
       20    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1396(_fill_cache)
       27    0.001    0.000    0.001    0.000 sre_compile.py:208(_optimize_charset)
        4    0.001    0.000    0.001    0.000 {built-in method open}
      472    0.001    0.000    0.002    0.000 numeric.py:392(asarray)
        2    0.001    0.000    0.003    0.002 BmpImagePlugin.py:190(_save)
      169    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:754(_open_registry)
      400    0.001    0.000    0.001    0.000 {built-in method allocate_lock}
      145    0.001    0.000    0.001    0.000 {built-in method _fix_co_filename}
        9    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        4    0.001    0.000    0.149    0.037 __init__.py:1(<module>)
      222    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:98(_path_is_mode_type)
    59/18    0.001    0.000    0.214    0.012 {built-in method __import__}
      881    0.001    0.000    0.001    0.000 {built-in method getattr}
      225    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:285(_lock_unlock_module)
        1    0.001    0.001    4.921    4.921 zernike_js.py:1(<module>)
       50    0.001    0.000    0.001    0.000 zern1.py:44(noll_to_zern)
      290    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:181(__init__)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:61(_r_long)
        2    0.000    0.000    0.000    0.000 {method 'encode_to_file' of 'ImagingEncoder' objects}
    56/15    0.000    0.000    0.002    0.000 sre_compile.py:33(_compile)
    145/9    0.000    0.000    0.233    0.026 <frozen importlib._bootstrap>:1019(load_module)
      518    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
      145    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1041(path_stats)
      928    0.000    0.000    0.000    0.000 {scipy.special._ufuncs.errprint}
      688    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1459(__exit__)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:154(new_module)
      386    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1261(_path_importer_cache)
    82/41    0.000    0.000    0.000    0.000 sre_parse.py:142(getwidth)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      350    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:34(_relax_case)
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        7    0.000    0.000    0.000    0.000 sre_compile.py:259(_mk_bitmap)
      554    0.000    0.000    0.001    0.000 sre_parse.py:210(get)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      679    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      268    0.000    0.000    0.000    0.000 {built-in method add_docstring}
     1098    0.000    0.000    0.000    0.000 {built-in method release_lock}
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1455(__enter__)
      278    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      182    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:108(_path_isfile)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1013(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
2109/2081    0.000    0.000    0.000    0.000 {built-in method len}
        2    0.000    0.000    0.007    0.003 __init__.py:3(<module>)
        1    0.000    0.000    0.175    0.175 __init__.py:106(<module>)
        1    0.000    0.000    0.102    0.102 add_newdocs.py:10(<module>)
      107    0.000    0.000    0.007    0.000 re.py:268(_compile)
    231/9    0.000    0.000    0.234    0.026 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
    145/9    0.000    0.000    0.233    0.026 <frozen importlib._bootstrap>:997(load_module)
      169    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap>:1305(find_module)
        2    0.000    0.000    0.008    0.004 pilutil.py:199(toimage)
       27    0.000    0.000    0.001    0.000 ntpath.py:273(split)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
      821    0.000    0.000    0.000    0.000 {built-in method get_ident}
      268    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      199    0.000    0.000    0.000    0.000 sre_parse.py:132(__getitem__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1332(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:65(<module>)
      726    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
       37    0.000    0.000    0.000    0.000 ntpath.py:188(splitdrive)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       50    0.000    0.000    2.444    0.049 zern1.py:66(zernikel)
      169    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:776(find_module)
        2    0.000    0.000    0.000    0.000 {built-in method dir}
      495    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    2.444    2.444 zern1.py:147(<listcomp>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x000000001E34EF70}
        9    0.000    0.000    0.000    0.000 datetime.py:301(__new__)
      169    0.000    0.000    0.000    0.000 {built-in method is_frozen}
      580    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(get_filename)
      198    0.000    0.000    0.000    0.000 {built-in method setattr}
        1    0.000    0.000    0.010    0.010 __init__.py:527(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
       91    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 {built-in method fill}
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'numpy.ndarray' objects}
       27    0.000    0.000    0.001    0.000 sre_compile.py:179(_compile_charset)
        2    0.000    0.000    0.027    0.014 __init__.py:38(<module>)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
       26    0.000    0.000    0.001    0.000 nosetester.py:140(__init__)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1425(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
      401    0.000    0.000    0.000    0.000 {built-in method chr}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:700(find_module)
        6    0.000    0.000    0.000    0.000 abc.py:129(__new__)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1572(_gcd_import)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
       15    0.000    0.000    0.006    0.000 sre_compile.py:489(compile)
    29/26    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:496(set_package_wrapper)
      714    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       15    0.000    0.000    0.003    0.000 sre_parse.py:738(parse)
        3    0.000    0.000    0.002    0.001 __init__.py:297(namedtuple)
        1    0.000    0.000    0.005    0.005 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.005    0.005 Image.py:27(<module>)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
      445    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:280(cb)
    17/16    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1126(load_module)
        4    0.000    0.000    0.001    0.000 _methods.py:49(_mean)
       15    0.000    0.000    0.001    0.000 sre_compile.py:365(_compile_info)
      110    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1437(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
    26/15    0.000    0.000    0.003    0.000 sre_parse.py:353(_parse_sub)
        1    0.000    0.000    0.010    0.010 shutil.py:5(<module>)
       49    0.000    0.000    0.000    0.000 {built-in method is_builtin}
        1    0.000    0.000    0.000    0.000 numbers.py:299(Integral)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       24    0.000    0.000    0.000    0.000 _binary.py:44(o32le)
       37    0.000    0.000    0.000    0.000 ntpath.py:84(normcase)
        1    0.000    0.000    0.000    0.000 __init__.py:540(<listcomp>)
      176    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
       91    0.000    0.000    0.001    0.000 re.py:153(match)
       23    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
        1    0.000    0.000    0.045    0.045 __init__.py:15(<module>)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:643(find_module)
        1    0.000    0.000    0.001    0.001 pickle.py:171(<listcomp>)
       78    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       23    0.000    0.000    0.001    0.000 core.py:5988(getdoc)
        2    0.000    0.000    1.416    0.708 index_tricks.py:240(__getitem__)
      141    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
        1    0.000    0.000    0.001    0.001 subprocess.py:337(<module>)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
      238    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
    29/26    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap>:509(set_loader_wrapper)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:114(_path_isdir)
        1    0.000    0.000    0.002    0.002 tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.014    0.014 npyio.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
       26    0.000    0.000    0.000    0.000 sre_compile.py:358(_simple)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
        1    0.000    0.000    0.000    0.000 core.py:2563(MaskedArray)
        1    0.000    0.000    0.003    0.003 basic.py:5(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1144(is_package)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        2    0.000    0.000    0.000    0.000 {method 'resize' of 'numpy.ndarray' objects}
      117    0.000    0.000    0.000    0.000 {built-in method getlower}
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.015    0.015 __init__.py:45(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:19(<module>)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1656(__import__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method zeros}
        1    0.000    0.000    0.000    0.000 {built-in method putenv}
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
        1    0.000    0.000    0.002    0.002 util.py:10(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:4(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1338(<genexpr>)
        1    0.000    0.000    0.005    0.005 tempfile.py:16(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       56    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:116(<listcomp>)
        2    0.000    0.000    0.000    0.000 function_base.py:8(linspace)
        1    0.000    0.000    0.004    0.004 case.py:1(<module>)
       15    0.000    0.000    0.003    0.000 sre_compile.py:474(_code)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 precision.py:8(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:7(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method print}
      126    0.000    0.000    0.000    0.000 {built-in method min}
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.010    0.010 polynomial.py:55(<module>)
        1    0.000    0.000    0.002    0.002 arrayprint.py:5(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        2    0.000    0.000    0.001    0.000 ImageFile.py:443(_save)
        1    0.000    0.000    0.001    0.001 orthogonal.py:79(<module>)
        2    0.000    0.000    0.021    0.011 Image.py:1408(save)
        1    0.000    0.000    0.001    0.001 compat.py:3(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method compile}
        1    0.000    0.000    0.004    0.004 polynomial.py:4(<module>)
       51    0.000    0.000    0.000    0.000 {built-in method issubclass}
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.006    0.006 chebyshev.py:87(<module>)
        1    0.000    0.000    0.006    0.006 legendre.py:83(<module>)
        4    0.000    0.000    0.000    0.000 _methods.py:39(_count_reduce_items)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1490(_sanity_check)
       15    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
        1    0.000    0.000    0.006    0.006 hermite.py:59(<module>)
        1    0.000    0.000    0.006    0.006 hermite_e.py:59(<module>)
        1    0.000    0.000    0.054    0.054 type_check.py:3(<module>)
        1    0.000    0.000    0.006    0.006 laguerre.py:59(<module>)
        1    0.000    0.000    0.002    0.002 GifImagePlugin.py:28(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method raw_decoder}
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:593(_requires_builtin_wrapper)
        4    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.001    0.001 misc.py:3(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:132(<setcomp>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 numeric.py:353(<listcomp>)
       21    0.000    0.000    0.000    0.000 {built-in method empty}
        1    0.000    0.000    0.003    0.003 __init__.py:44(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5983(__init__)
        1    0.000    0.000    0.001    0.001 functions.py:3(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.016    0.016 pilutil.py:7(<module>)
       82    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        4    0.000    0.000    0.000    0.000 numerictypes.py:948(_can_coerce_all)
       34    0.000    0.000    0.000    0.000 six.py:93(__init__)
        8    0.000    0.000    0.000    0.000 ntpath.py:108(join)
        2    0.000    0.000    0.000    0.000 ntpath.py:529(normpath)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method round}
       86    0.000    0.000    0.000    0.000 ntpath.py:44(_get_sep)
        4    0.000    0.000    0.001    0.000 {method 'mean' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(__init__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:297(_escape)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:53(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1046(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:787(_Unpickler)
        2    0.000    0.000    0.000    0.000 Image.py:1763(new)
        1    0.000    0.000    0.002    0.002 loader.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method raw_encoder}
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        3    0.000    0.000    0.000    0.000 abc.py:191(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.002    0.002 common.py:4(<module>)
       46    0.000    0.000    0.000    0.000 {built-in method repr}
        2    0.000    0.000    0.013    0.006 Image.py:280(preinit)
       15    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.012    0.012 _datasource.py:33(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:654(load_module)
       13    0.000    0.000    0.000    0.000 typeconv.py:24(convtypecode)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_reset_cache)
       27    0.000    0.000    0.001    0.000 ntpath.py:314(dirname)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        3    0.000    0.000    0.001    0.000 warnings.py:31(filterwarnings)
       43    0.000    0.000    0.000    0.000 ntpath.py:56(_get_bothseps)
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        4    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
        1    0.000    0.000    0.002    0.002 result.py:1(<module>)
        4    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 dual.py:12(<module>)
        1    0.000    0.000    0.003    0.003 BmpImagePlugin.py:27(<module>)
        5    0.000    0.000    0.000    0.000 precision.py:20(_get_precisions)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method any}
        7    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 JpegPresets.py:67(<module>)
       37    0.000    0.000    0.000    0.000 sre_compile.py:52(fixup)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
       45    0.000    0.000    0.000    0.000 ntpath.py:68(_get_colon)
       23    0.000    0.000    0.000    0.000 precision.py:36(_lookup)
        1    0.000    0.000    0.117    0.117 linalg.py:180(_fastCopyAndTranspose)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:386(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        2    0.000    0.000    0.000    0.000 Image.py:436(_new)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 case.py:220(TestCase)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        6    0.000    0.000    0.008    0.001 string.py:97(substitute)
       41    0.000    0.000    0.000    0.000 ntpath.py:50(_get_altsep)
       30    0.000    0.000    0.000    0.000 {built-in method _getframe}
       18    0.000    0.000    0.000    0.000 {built-in method calcsize}
       30    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
        1    0.000    0.000    0.003    0.003 polytemplate.py:11(<module>)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        2    0.000    0.000    0.000    0.000 Image.py:563(frombytes)
       15    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
        4    0.000    0.000    0.000    0.000 Image.py:425(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 {built-in method warn}
       42    0.000    0.000    0.000    0.000 abc.py:8(abstractmethod)
        8    0.000    0.000    0.000    0.000 core.py:7195(getdoc)
      156    0.000    0.000    0.000    0.000 {built-in method ord}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       43    0.000    0.000    0.000    0.000 six.py:80(__init__)
        1    0.000    0.000    0.030    0.030 zern1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:206(matrix)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.151    0.151 zern1.py:278(calc_zernike)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        3    0.000    0.000    0.000    0.000 {built-in method arange}
        1    0.000    0.000    0.000    0.000 Image.py:420(Image)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1289(datetime)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:1395(TarFile)
        1    0.000    0.000    0.000    0.000 _iotools.py:466(StringConverter)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
